t,r,y,u
0.00000000,400.00000000,0.00000000,0.00000000
0.02000000,400.00000000,6.42857170,0.62983108
0.04000000,400.00000000,38.57143021,1.50290203
0.06000000,400.00000000,109.28572845,2.32128954
0.08000000,400.00000000,218.57145691,3.00797272
0.10000000,400.00000000,321.42858887,3.47778606
0.12000000,400.00000000,411.42858887,3.71642065
0.14000000,400.00000000,475.71432495,3.74819303
0.16000000,400.00000000,507.85717773,3.62173581
0.18000000,400.00000000,527.14294434,3.40394831
0.20000000,400.00000000,514.28576660,3.13543463
0.22000000,400.00000000,495.00003052,2.87494969
0.24000000,400.00000000,462.85714722,2.65297556
0.26000000,400.00000000,437.14291382,2.49382854
0.28000000,400.00000000,405.00003052,2.39553022
0.30000000,400.00000000,379.28573608,2.36413074
0.32000000,400.00000000,366.42858887,2.39357972
0.34000000,400.00000000,366.42858887,2.45956111
0.36000000,400.00000000,366.42858887,2.53368616
0.38000000,400.00000000,366.42858887,2.60781121
0.40000000,400.00000000,379.28573608,2.68193626
0.42000000,400.00000000,385.71432495,2.73581672
0.44000000,400.00000000,398.57144165,2.77143121
0.46000000,400.00000000,405.00003052,2.78272939
0.48000000,400.00000000,405.00003052,2.77576137
0.50000000,400.00000000,411.42858887,2.76472139
0.52000000,400.00000000,411.42858887,2.74355912
0.54000000,400.00000000,411.42858887,2.71832490
0.56000000,400.00000000,405.00003052,2.69309068
0.58000000,400.00000000,405.00003052,2.67797875
0.60000000,400.00000000,398.57144165,2.66693878
0.62000000,400.00000000,398.57144165,2.66602111
0.64000000,400.00000000,398.57144165,2.66917539
0.66000000,400.00000000,398.57144165,2.67232966
0.68000000,400.00000000,398.57144165,2.67548394
0.70000000,400.00000000,398.57144165,2.67863822
0.72000000,400.00000000,398.57144165,2.68179250
0.74000000,400.00000000,398.57144165,2.68494678
0.76000000,400.00000000,392.14288330,2.68810105
0.78000000,400.00000000,405.00003052,2.70137739
0.80000000,400.00000000,398.57144165,2.69848132
0.82000000,400.00000000,398.57144165,2.69756365
0.84000000,400.00000000,398.57144165,2.70071793
0.86000000,400.00000000,405.00003052,2.70387220
0.88000000,400.00000000,398.57144165,2.69690418
0.90000000,400.00000000,405.00003052,2.69598651
0.92000000,400.00000000,398.57144165,2.68901849
0.94000000,400.00000000,398.57144165,2.68810081
0.96000000,400.00000000,405.00003052,2.69125509
0.98000000,400.00000000,398.57144165,2.68428707
1.00000000,400.00000000,398.57144165,2.68336940
1.02000000,400.00000000,398.57144165,2.68652368
1.04000000,400.00000000,398.57144165,2.68967795
1.06000000,400.00000000,405.00003052,2.69283223
1.08000000,400.00000000,398.57144165,2.68586421
1.10000000,400.00000000,398.57144165,2.68494654
1.12000000,400.00000000,398.57144165,2.68810081
1.14000000,400.00000000,398.57144165,2.69125509
1.16000000,400.00000000,405.00003052,2.69440937
1.18000000,400.00000000,398.57144165,2.68744135
1.20000000,400.00000000,398.57144165,2.68652368
1.22000000,400.00000000,398.57144165,2.68967795
1.24000000,400.00000000,405.00003052,2.69283223
1.26000000,400.00000000,398.57144165,2.68586421
1.28000000,400.00000000,398.57144165,2.68494654
1.30000000,400.00000000,398.57144165,2.68810081
1.32000000,400.00000000,398.57144165,2.69125509
1.34000000,400.00000000,405.00003052,2.69440937
1.36000000,400.00000000,398.57144165,2.68744135
1.38000000,400.00000000,398.57144165,2.68652368
1.40000000,400.00000000,398.57144165,2.68967795
1.42000000,400.00000000,405.00003052,2.69283223
1.44000000,400.00000000,398.57144165,2.68586421
1.46000000,400.00000000,398.57144165,2.68494654
1.48000000,400.00000000,398.57144165,2.68810081
1.50000000,400.00000000,398.57144165,2.69125509
1.52000000,400.00000000,405.00003052,2.69440937
1.54000000,400.00000000,398.57144165,2.68744135
1.56000000,400.00000000,398.57144165,2.68652368
1.58000000,400.00000000,398.57144165,2.68967795
1.60000000,400.00000000,405.00003052,2.69283223
1.62000000,400.00000000,398.57144165,2.68586421
1.64000000,400.00000000,398.57144165,2.68494654
1.66000000,400.00000000,398.57144165,2.68810081
1.68000000,400.00000000,398.57144165,2.69125509
1.70000000,400.00000000,405.00003052,2.69440937
1.72000000,400.00000000,398.57144165,2.68744135
1.74000000,400.00000000,398.57144165,2.68652368
1.76000000,400.00000000,405.00003052,2.68967795
1.78000000,400.00000000,398.57144165,2.68270993
1.80000000,400.00000000,398.57144165,2.68179226
1.82000000,400.00000000,398.57144165,2.68494654
1.84000000,400.00000000,398.57144165,2.68810081
1.86000000,400.00000000,398.57144165,2.69125509
1.88000000,400.00000000,405.00003052,2.69440937
1.90000000,400.00000000,398.57144165,2.68744135
1.92000000,400.00000000,398.57144165,2.68652368
1.94000000,400.00000000,398.57144165,2.68967795
1.96000000,400.00000000,405.00003052,2.69283223
1.98000000,400.00000000,398.57144165,2.68586421
