u,y
0.17500000,2.44285725
0.20000000,3.47142872
0.22500000,4.50000019
0.25000000,6.55714314
0.30000000,10.67142902
0.82222222,96.04286682
1.34444444,180.00001526
1.86666667,261.77146729
2.38888889,345.47145813
2.91111111,429.68575562
3.43333333,515.31434082
3.95555556,600.30004150
4.47777778,686.18580566
5.00000000,767.95721191
