t,r,y,u
2.30000000,252.00000000,319.24288940,-0.96862137
2.32000000,244.80000305,312.68572998,-0.88859612
2.34000000,237.60000610,305.74288940,-0.96190906
2.36000000,230.39999390,298.54287720,-0.87056303
2.38000000,223.19999695,291.21429443,-0.89628804
2.40000000,216.00000000,283.50003052,-0.87530553
2.42000000,208.80000305,275.78573608,-0.77305818
2.44000000,201.60000610,267.94287109,-0.82997608
2.46000000,194.39999390,260.10000610,-0.72982621
2.48000000,187.19999695,252.12858582,-0.75558442
2.50000000,180.00000000,244.15715027,-0.65346253
2.52000000,172.80000305,236.31430054,-0.65808320
2.54000000,165.59999084,228.47143555,-0.63607842
2.56000000,158.39999390,220.75715637,-0.58347738
2.58000000,151.20001221,213.04286194,-0.59457666
2.60000000,143.99998474,205.58572388,-0.52396810
2.62000000,136.80000305,198.12858582,-0.59248686
2.64000000,129.60000610,190.80001831,-0.49844092
2.66000000,122.39999390,183.60000610,-0.55135667
2.68000000,115.19999695,176.52857971,-0.52417004
2.70000000,108.00000763,169.58572388,-0.55288583
2.72000000,100.79998779,162.64286804,-0.56167871
2.74000000,93.59999847,155.70001221,-0.54823840
2.76000000,86.40000153,149.01429749,-0.55488962
2.78000000,79.20001221,142.07144165,-0.64299691
