t,u,y
0.00000000,1.83274090,360.00003052
0.02000000,1.83274090,334.28573608
0.04000000,1.83274090,302.14288330
0.06000000,1.83274090,282.85714722
0.08000000,1.83274090,270.00000000
0.10000000,1.83274090,270.00000000
0.12000000,1.83274090,263.57147217
0.14000000,1.83274090,257.14288330
0.16000000,1.83274090,263.57147217
0.18000000,1.83274090,257.14288330
0.20000000,1.83274090,257.14288330
0.22000000,1.83274090,257.14288330
0.24000000,1.83274090,257.14288330
0.26000000,1.83274090,263.57147217
0.28000000,1.83274090,257.14288330
0.30000000,1.83274090,257.14288330
0.32000000,1.83274090,257.14288330
0.34000000,1.83274090,257.14288330
0.36000000,1.83274090,257.14288330
0.38000000,1.83274090,263.57147217
0.40000000,1.83274090,257.14288330
0.42000000,1.83274090,257.14288330
0.44000000,1.83274090,257.14288330
0.46000000,1.83274090,257.14288330
0.48000000,1.83274090,257.14288330
0.50000000,1.83274090,257.14288330
0.52000000,1.83274090,257.14288330
0.54000000,1.83274090,263.57147217
0.56000000,1.83274090,257.14288330
0.58000000,1.83274090,257.14288330
0.60000000,1.83274090,257.14288330
0.62000000,1.83274090,257.14288330
0.64000000,1.83274090,257.14288330
0.66000000,1.83274090,263.57147217
0.68000000,1.83274090,257.14288330
0.70000000,1.83274090,257.14288330
0.72000000,1.83274090,257.14288330
0.74000000,1.83274090,257.14288330
0.76000000,1.83274090,257.14288330
0.78000000,1.83274090,257.14288330
0.80000000,1.83274090,257.14288330
0.82000000,1.83274090,257.14288330
0.84000000,1.83274090,263.57147217
0.86000000,1.83274090,257.14288330
0.88000000,1.83274090,257.14288330
0.90000000,1.83274090,257.14288330
0.92000000,1.83274090,257.14288330
0.94000000,1.83274090,263.57147217
0.96000000,1.83274090,257.14288330
0.98000000,1.83274090,257.14288330
1.00000000,1.83274090,257.14288330
1.02000000,1.83274090,257.14288330
1.04000000,1.83274090,257.14288330
1.06000000,1.83274090,257.14288330
1.08000000,1.83274090,257.14288330
1.10000000,1.83274090,263.57147217
1.12000000,1.83274090,257.14288330
1.14000000,1.83274090,257.14288330
1.16000000,1.83274090,257.14288330
1.18000000,1.83274090,257.14288330
1.20000000,1.83274090,257.14288330
1.22000000,1.83274090,257.14288330
1.24000000,1.83274090,263.57147217
1.26000000,1.83274090,257.14288330
1.28000000,1.83274090,257.14288330
1.30000000,1.83274090,257.14288330
1.32000000,1.83274090,257.14288330
1.34000000,1.83274090,257.14288330
1.36000000,1.83274090,257.14288330
1.38000000,1.83274090,263.57147217
1.40000000,1.83274090,257.14288330
1.42000000,1.83274090,257.14288330
1.44000000,1.83274090,257.14288330
1.46000000,1.83274090,257.14288330
1.48000000,1.83274090,257.14288330
1.50000000,1.83274090,263.57147217
1.52000000,1.83274090,257.14288330
1.54000000,1.83274090,257.14288330
1.56000000,1.83274090,257.14288330
1.58000000,1.83274090,257.14288330
1.60000000,3.08407497,257.14288330
1.62000000,3.08407497,308.57144165
1.64000000,3.08407497,366.42858887
1.66000000,3.08407497,405.00003052
1.68000000,3.08407497,430.71432495
1.70000000,3.08407497,437.14291382
1.72000000,3.08407497,450.00006104
1.74000000,3.08407497,450.00006104
1.76000000,3.08407497,450.00006104
1.78000000,3.08407497,456.42858887
1.80000000,3.08407497,456.42858887
1.82000000,3.08407497,456.42858887
1.84000000,3.08407497,456.42858887
1.86000000,3.08407497,456.42858887
1.88000000,3.08407497,456.42858887
1.90000000,3.08407497,456.42858887
1.92000000,3.08407497,456.42858887
1.94000000,3.08407497,456.42858887
1.96000000,3.08407497,456.42858887
1.98000000,3.08407497,456.42858887
2.00000000,3.08407497,456.42858887
2.02000000,3.08407497,456.42858887
2.04000000,3.08407497,456.42858887
2.06000000,3.08407497,456.42858887
2.08000000,1.83274090,456.42858887
2.10000000,1.83274090,411.42858887
2.12000000,1.83274090,347.14288330
2.14000000,1.83274090,308.57144165
2.16000000,1.83274090,289.28573608
2.18000000,1.83274090,270.00000000
2.20000000,1.83274090,270.00000000
2.22000000,1.83274090,263.57147217
2.24000000,1.83274090,263.57147217
2.26000000,1.83274090,257.14288330
2.28000000,1.83274090,257.14288330
2.30000000,1.83274090,257.14288330
2.32000000,1.83274090,263.57147217
2.34000000,1.83274090,257.14288330
2.36000000,1.83274090,257.14288330
2.38000000,1.83274090,257.14288330
2.40000000,1.83274090,263.57147217
2.42000000,1.83274090,257.14288330
2.44000000,1.83274090,257.14288330
2.46000000,1.83274090,257.14288330
2.48000000,1.83274090,257.14288330
2.50000000,1.83274090,257.14288330
2.52000000,1.83274090,257.14288330
2.54000000,1.83274090,263.57147217
2.56000000,3.08407497,257.14288330
2.58000000,3.08407497,302.14288330
2.60000000,3.08407497,366.42858887
2.62000000,3.08407497,405.00003052
2.64000000,3.08407497,430.71432495
2.66000000,3.08407497,437.14291382
2.68000000,3.08407497,443.57147217
2.70000000,3.08407497,450.00006104
2.72000000,3.08407497,456.42858887
2.74000000,3.08407497,456.42858887
2.76000000,3.08407497,450.00006104
2.78000000,3.08407497,456.42858887
2.80000000,3.08407497,456.42858887
2.82000000,3.08407497,456.42858887
2.84000000,3.08407497,456.42858887
2.86000000,3.08407497,456.42858887
2.88000000,3.08407497,456.42858887
2.90000000,3.08407497,456.42858887
2.92000000,3.08407497,456.42858887
2.94000000,3.08407497,456.42858887
2.96000000,3.08407497,450.00006104
2.98000000,3.08407497,462.85714722
3.00000000,3.08407497,450.00006104
3.02000000,3.08407497,462.85714722
3.04000000,1.83274090,450.00006104
3.06000000,1.83274090,405.00003052
3.08000000,1.83274090,347.14288330
3.10000000,1.83274090,308.57144165
3.12000000,1.83274090,282.85714722
3.14000000,1.83274090,276.42858887
3.16000000,1.83274090,263.57147217
3.18000000,1.83274090,263.57147217
3.20000000,3.08407497,263.57147217
3.22000000,3.08407497,302.14288330
3.24000000,3.08407497,366.42858887
3.26000000,3.08407497,405.00003052
3.28000000,3.08407497,430.71432495
3.30000000,3.08407497,437.14291382
3.32000000,3.08407497,450.00006104
3.34000000,3.08407497,450.00006104
3.36000000,3.08407497,456.42858887
3.38000000,3.08407497,450.00006104
3.40000000,3.08407497,456.42858887
3.42000000,3.08407497,456.42858887
3.44000000,3.08407497,456.42858887
3.46000000,3.08407497,456.42858887
3.48000000,3.08407497,456.42858887
3.50000000,3.08407497,456.42858887
3.52000000,1.83274090,456.42858887
3.54000000,1.83274090,411.42858887
3.56000000,1.83274090,347.14288330
3.58000000,1.83274090,302.14288330
3.60000000,1.83274090,289.28573608
3.62000000,1.83274090,270.00000000
3.64000000,1.83274090,270.00000000
3.66000000,1.83274090,263.57147217
3.68000000,1.83274090,257.14288330
3.70000000,1.83274090,263.57147217
3.72000000,1.83274090,257.14288330
3.74000000,1.83274090,257.14288330
3.76000000,1.83274090,257.14288330
3.78000000,1.83274090,257.14288330
3.80000000,1.83274090,263.57147217
3.82000000,1.83274090,257.14288330
3.84000000,1.83274090,257.14288330
3.86000000,1.83274090,257.14288330
3.88000000,1.83274090,257.14288330
3.90000000,1.83274090,257.14288330
3.92000000,1.83274090,257.14288330
3.94000000,1.83274090,263.57147217
3.96000000,1.83274090,257.14288330
3.98000000,1.83274090,257.14288330
4.00000000,3.08407497,257.14288330
4.02000000,3.08407497,302.14288330
4.04000000,3.08407497,372.85717773
4.06000000,3.08407497,405.00003052
4.08000000,3.08407497,424.28576660
4.10000000,3.08407497,443.57147217
4.12000000,3.08407497,450.00006104
4.14000000,3.08407497,450.00006104
4.16000000,1.83274090,450.00006104
4.18000000,1.83274090,411.42858887
4.20000000,1.83274090,347.14288330
4.22000000,1.83274090,308.57144165
4.24000000,1.83274090,282.85714722
4.26000000,1.83274090,270.00000000
4.28000000,1.83274090,270.00000000
4.30000000,1.83274090,263.57147217
4.32000000,1.83274090,257.14288330
4.34000000,1.83274090,263.57147217
4.36000000,1.83274090,257.14288330
4.38000000,1.83274090,257.14288330
4.40000000,1.83274090,257.14288330
4.42000000,1.83274090,263.57147217
4.44000000,1.83274090,257.14288330
4.46000000,1.83274090,257.14288330
4.48000000,3.08407497,257.14288330
4.50000000,3.08407497,302.14288330
4.52000000,3.08407497,372.85717773
4.54000000,3.08407497,411.42858887
4.56000000,3.08407497,424.28576660
4.58000000,3.08407497,443.57147217
4.60000000,3.08407497,443.57147217
4.62000000,3.08407497,450.00006104
4.64000000,3.08407497,456.42858887
4.66000000,3.08407497,456.42858887
4.68000000,3.08407497,456.42858887
4.70000000,3.08407497,456.42858887
4.72000000,3.08407497,456.42858887
4.74000000,3.08407497,456.42858887
4.76000000,3.08407497,456.42858887
4.78000000,3.08407497,456.42858887
4.80000000,1.83274090,456.42858887
4.82000000,1.83274090,411.42858887
4.84000000,1.83274090,340.71432495
4.86000000,1.83274090,308.57144165
4.88000000,1.83274090,289.28573608
4.90000000,1.83274090,276.42858887
4.92000000,1.83274090,263.57147217
4.94000000,1.83274090,263.57147217
4.96000000,3.08407497,263.57147217
4.98000000,3.08407497,302.14288330
5.00000000,3.08407497,372.85717773
5.02000000,3.08407497,405.00003052
5.04000000,3.08407497,424.28576660
5.06000000,3.08407497,437.14291382
5.08000000,3.08407497,450.00006104
5.10000000,3.08407497,450.00006104
5.12000000,1.83274090,456.42858887
5.14000000,1.83274090,405.00003052
5.16000000,1.83274090,347.14288330
5.18000000,1.83274090,308.57144165
5.20000000,1.83274090,282.85714722
5.22000000,1.83274090,276.42858887
5.24000000,1.83274090,270.00000000
5.26000000,1.83274090,257.14288330
5.28000000,3.08407497,263.57147217
5.30000000,3.08407497,308.57144165
5.32000000,3.08407497,366.42858887
5.34000000,3.08407497,411.42858887
5.36000000,3.08407497,424.28576660
5.38000000,3.08407497,443.57147217
5.40000000,3.08407497,450.00006104
5.42000000,3.08407497,450.00006104
5.44000000,1.83274090,450.00006104
5.46000000,1.83274090,411.42858887
5.48000000,1.83274090,347.14288330
5.50000000,1.83274090,308.57144165
5.52000000,1.83274090,289.28573608
5.54000000,1.83274090,270.00000000
5.56000000,1.83274090,270.00000000
5.58000000,1.83274090,263.57147217
5.60000000,1.83274090,263.57147217
5.62000000,1.83274090,257.14288330
5.64000000,1.83274090,257.14288330
5.66000000,1.83274090,257.14288330
5.68000000,1.83274090,257.14288330
5.70000000,1.83274090,263.57147217
5.72000000,1.83274090,257.14288330
5.74000000,1.83274090,257.14288330
5.76000000,1.83274090,263.57147217
5.78000000,1.83274090,257.14288330
5.80000000,1.83274090,257.14288330
5.82000000,1.83274090,257.14288330
5.84000000,1.83274090,257.14288330
5.86000000,1.83274090,257.14288330
5.88000000,1.83274090,257.14288330
5.90000000,1.83274090,257.14288330
5.92000000,3.08407497,257.14288330
5.94000000,3.08407497,302.14288330
5.96000000,3.08407497,366.42858887
5.98000000,3.08407497,405.00003052
6.00000000,3.08407497,424.28576660
6.02000000,3.08407497,443.57147217
6.04000000,3.08407497,443.57147217
6.06000000,3.08407497,450.00006104
6.08000000,1.83274090,456.42858887
6.10000000,1.83274090,411.42858887
6.12000000,1.83274090,340.71432495
6.14000000,1.83274090,308.57144165
6.16000000,1.83274090,289.28573608
6.18000000,1.83274090,276.42858887
6.20000000,1.83274090,263.57147217
6.22000000,1.83274090,263.57147217
6.24000000,1.83274090,263.57147217
6.26000000,1.83274090,263.57147217
6.28000000,1.83274090,257.14288330
6.30000000,1.83274090,257.14288330
6.32000000,1.83274090,257.14288330
6.34000000,1.83274090,257.14288330
6.36000000,1.83274090,257.14288330
6.38000000,1.83274090,257.14288330
6.40000000,1.83274090,257.14288330
6.42000000,1.83274090,257.14288330
6.44000000,1.83274090,257.14288330
6.46000000,1.83274090,263.57147217
6.48000000,1.83274090,257.14288330
6.50000000,1.83274090,257.14288330
6.52000000,1.83274090,257.14288330
6.54000000,1.83274090,257.14288330
6.56000000,1.83274090,257.14288330
6.58000000,1.83274090,257.14288330
6.60000000,1.83274090,257.14288330
6.62000000,1.83274090,263.57147217
6.64000000,1.83274090,257.14288330
6.66000000,1.83274090,257.14288330
6.68000000,1.83274090,257.14288330
6.70000000,1.83274090,257.14288330
6.72000000,3.08407497,257.14288330
6.74000000,3.08407497,302.14288330
6.76000000,3.08407497,372.85717773
6.78000000,3.08407497,405.00003052
6.80000000,3.08407497,424.28576660
6.82000000,3.08407497,443.57147217
6.84000000,3.08407497,443.57147217
6.86000000,3.08407497,450.00006104
6.88000000,1.83274090,456.42858887
6.90000000,1.83274090,411.42858887
6.92000000,1.83274090,340.71432495
6.94000000,1.83274090,308.57144165
6.96000000,1.83274090,289.28573608
6.98000000,1.83274090,270.00000000
7.00000000,1.83274090,270.00000000
7.02000000,1.83274090,263.57147217
7.04000000,3.08407497,263.57147217
7.06000000,3.08407497,302.14288330
7.08000000,3.08407497,366.42858887
7.10000000,3.08407497,411.42858887
7.12000000,3.08407497,424.28576660
7.14000000,3.08407497,437.14291382
7.16000000,3.08407497,450.00006104
7.18000000,3.08407497,450.00006104
7.20000000,1.83274090,456.42858887
7.22000000,1.83274090,411.42858887
7.24000000,1.83274090,340.71432495
7.26000000,1.83274090,308.57144165
7.28000000,1.83274090,289.28573608
7.30000000,1.83274090,270.00000000
7.32000000,1.83274090,270.00000000
7.34000000,1.83274090,263.57147217
7.36000000,3.08407497,257.14288330
7.38000000,3.08407497,308.57144165
7.40000000,3.08407497,366.42858887
7.42000000,3.08407497,405.00003052
7.44000000,3.08407497,430.71432495
7.46000000,3.08407497,437.14291382
7.48000000,3.08407497,443.57147217
7.50000000,3.08407497,450.00006104
7.52000000,3.08407497,456.42858887
7.54000000,3.08407497,456.42858887
7.56000000,3.08407497,450.00006104
7.58000000,3.08407497,456.42858887
7.60000000,3.08407497,456.42858887
7.62000000,3.08407497,456.42858887
7.64000000,3.08407497,456.42858887
7.66000000,3.08407497,456.42858887
7.68000000,3.08407497,456.42858887
7.70000000,3.08407497,456.42858887
7.72000000,3.08407497,456.42858887
7.74000000,3.08407497,456.42858887
7.76000000,3.08407497,462.85714722
7.78000000,3.08407497,456.42858887
7.80000000,3.08407497,456.42858887
7.82000000,3.08407497,456.42858887
7.84000000,1.83274090,456.42858887
7.86000000,1.83274090,411.42858887
7.88000000,1.83274090,347.14288330
7.90000000,1.83274090,302.14288330
7.92000000,1.83274090,289.28573608
7.94000000,1.83274090,270.00000000
7.96000000,1.83274090,270.00000000
7.98000000,1.83274090,263.57147217
8.00000000,1.83274090,257.14288330
8.02000000,1.83274090,263.57147217
8.04000000,1.83274090,257.14288330
8.06000000,1.83274090,257.14288330
8.08000000,1.83274090,257.14288330
8.10000000,1.83274090,257.14288330
8.12000000,1.83274090,263.57147217
8.14000000,1.83274090,257.14288330
8.16000000,1.83274090,257.14288330
8.18000000,1.83274090,257.14288330
8.20000000,1.83274090,257.14288330
8.22000000,1.83274090,257.14288330
8.24000000,1.83274090,257.14288330
8.26000000,1.83274090,263.57147217
8.28000000,1.83274090,257.14288330
8.30000000,1.83274090,257.14288330
8.32000000,1.83274090,257.14288330
8.34000000,1.83274090,257.14288330
8.36000000,1.83274090,257.14288330
8.38000000,1.83274090,257.14288330
8.40000000,1.83274090,257.14288330
8.42000000,1.83274090,257.14288330
8.44000000,1.83274090,257.14288330
8.46000000,1.83274090,263.57147217
8.48000000,3.08407497,257.14288330
8.50000000,3.08407497,302.14288330
8.52000000,3.08407497,366.42858887
8.54000000,3.08407497,405.00003052
8.56000000,3.08407497,424.28576660
8.58000000,3.08407497,437.14291382
8.60000000,3.08407497,450.00006104
8.62000000,3.08407497,450.00006104
8.64000000,1.83274090,450.00006104
8.66000000,1.83274090,411.42858887
8.68000000,1.83274090,347.14288330
8.70000000,1.83274090,308.57144165
8.72000000,1.83274090,289.28573608
8.74000000,1.83274090,270.00000000
8.76000000,1.83274090,270.00000000
8.78000000,1.83274090,263.57147217
8.80000000,3.08407497,257.14288330
8.82000000,3.08407497,308.57144165
8.84000000,3.08407497,366.42858887
8.86000000,3.08407497,411.42858887
8.88000000,3.08407497,430.71432495
8.90000000,3.08407497,437.14291382
8.92000000,3.08407497,450.00006104
8.94000000,3.08407497,450.00006104
8.96000000,3.08407497,456.42858887
8.98000000,3.08407497,450.00006104
9.00000000,3.08407497,456.42858887
9.02000000,3.08407497,456.42858887
9.04000000,3.08407497,456.42858887
9.06000000,3.08407497,456.42858887
9.08000000,3.08407497,456.42858887
9.10000000,3.08407497,456.42858887
9.12000000,1.83274090,456.42858887
9.14000000,1.83274090,411.42858887
9.16000000,1.83274090,347.14288330
9.18000000,1.83274090,308.57144165
9.20000000,1.83274090,282.85714722
9.22000000,1.83274090,276.42858887
9.24000000,1.83274090,263.57147217
9.26000000,1.83274090,270.00000000
9.28000000,3.08407497,257.14288330
9.30000000,3.08407497,308.57144165
9.32000000,3.08407497,366.42858887
9.34000000,3.08407497,411.42858887
9.36000000,3.08407497,424.28576660
9.38000000,3.08407497,443.57147217
9.40000000,3.08407497,443.57147217
9.42000000,3.08407497,450.00006104
9.44000000,1.83274090,456.42858887
9.46000000,1.83274090,411.42858887
9.48000000,1.83274090,347.14288330
9.50000000,1.83274090,308.57144165
9.52000000,1.83274090,282.85714722
9.54000000,1.83274090,276.42858887
9.56000000,1.83274090,263.57147217
9.58000000,1.83274090,263.57147217
9.60000000,3.08407497,263.57147217
9.62000000,3.08407497,302.14288330
9.64000000,3.08407497,366.42858887
9.66000000,3.08407497,411.42858887
9.68000000,3.08407497,430.71432495
9.70000000,3.08407497,437.14291382
9.72000000,3.08407497,450.00006104
9.74000000,3.08407497,450.00006104
9.76000000,1.83274090,456.42858887
9.78000000,1.83274090,411.42858887
9.80000000,1.83274090,340.71432495
9.82000000,1.83274090,308.57144165
9.84000000,1.83274090,289.28573608
9.86000000,1.83274090,270.00000000
9.88000000,1.83274090,270.00000000
9.90000000,1.83274090,263.57147217
9.92000000,3.08407497,263.57147217
9.94000000,3.08407497,302.14288330
9.96000000,3.08407497,366.42858887
9.98000000,3.08407497,411.42858887
10.00000000,3.08407497,424.28576660
10.02000000,3.08407497,437.14291382
10.04000000,3.08407497,450.00006104
10.06000000,3.08407497,450.00006104
10.08000000,3.08407497,450.00006104
10.10000000,3.08407497,456.42858887
10.12000000,3.08407497,456.42858887
10.14000000,3.08407497,456.42858887
10.16000000,3.08407497,456.42858887
10.18000000,3.08407497,456.42858887
10.20000000,3.08407497,456.42858887
10.22000000,3.08407497,456.42858887
10.24000000,3.08407497,456.42858887
10.26000000,3.08407497,456.42858887
10.28000000,3.08407497,456.42858887
10.30000000,3.08407497,456.42858887
10.32000000,3.08407497,456.42858887
10.34000000,3.08407497,456.42858887
10.36000000,3.08407497,456.42858887
